node_id,mesh_term
mesh_Calcium Oxalate,Calcium Oxalate
mesh_Micronucleus Tests,Micronucleus Tests
mesh_Neuronal Outgrowth,Neuronal Outgrowth
mesh_Kefir,Kefir
"mesh_Radiography, Thoracic","Radiography, Thoracic"
mesh_Repressor Proteins,Repressor Proteins
mesh_Respiratory Aerosols and Droplets,Respiratory Aerosols and Droplets
"mesh_Angiography, Digital Subtraction","Angiography, Digital Subtraction"
mesh_Electronic Health Records,Electronic Health Records
mesh_Keratin-16,Keratin-16
mesh_Fluorescence,Fluorescence
mesh_Motor Vehicles,Motor Vehicles
mesh_Persistent Organic Pollutants,Persistent Organic Pollutants
mesh_Materials Testing,Materials Testing
mesh_Sex Chromosomes,Sex Chromosomes
mesh_Pain Perception,Pain Perception
mesh_Ovariectomy,Ovariectomy
mesh_Hydrops Fetalis,Hydrops Fetalis
mesh_Bromelains,Bromelains
mesh_Decontamination,Decontamination
mesh_Nepal,Nepal
mesh_Porifera,Porifera
mesh_Action Potentials,Action Potentials
mesh_Buttocks,Buttocks
mesh_Fibroblast Growth Factor 1,Fibroblast Growth Factor 1
mesh_Ammonium Compounds,Ammonium Compounds
mesh_G1 Phase Cell Cycle Checkpoints,G1 Phase Cell Cycle Checkpoints
"mesh_Multiple Sclerosis, Relapsing-Remitting","Multiple Sclerosis, Relapsing-Remitting"
mesh_Salvia,Salvia
mesh_Death Domain Receptor Signaling Adaptor Proteins,Death Domain Receptor Signaling Adaptor Proteins
mesh_Mitogen-Activated Protein Kinase 14,Mitogen-Activated Protein Kinase 14
mesh_Sodium Hypochlorite,Sodium Hypochlorite
mesh_Edetic Acid,Edetic Acid
mesh_Perioperative Nursing,Perioperative Nursing
mesh_Olfaction Disorders,Olfaction Disorders
mesh_Water,Water
mesh_Actin Cytoskeleton,Actin Cytoskeleton
mesh_Cyclins,Cyclins
mesh_Tardigrada,Tardigrada
mesh_Nerve Degeneration,Nerve Degeneration
mesh_Cell Surface Display Techniques,Cell Surface Display Techniques
mesh_Toxoplasmosis,Toxoplasmosis
mesh_Anesthesia,Anesthesia
mesh_Podocytes,Podocytes
