node_id,author_name
author_Mark T Bedford,Mark T Bedford
author_Qixin Zhang,Qixin Zhang
author_Alicja Okrasińska,Alicja Okrasińska
author_Kazeem Adewale Osuolale,Kazeem Adewale Osuolale
author_Anna Pascual-Reguant,Anna Pascual-Reguant
author_Camila Leiva-Castro,Camila Leiva-Castro
author_Veronika Vasilevska,Veronika Vasilevska
author_Osman Faruk Bayramlar,Osman Faruk Bayramlar
author_Emeline Pasquier,Emeline Pasquier
author_Mazen Garaleh,Mazen Garaleh
author_Irfan Ullah,Irfan Ullah
author_Amenah Soherwardy,Amenah Soherwardy
author_Yuan Zhao,Yuan Zhao
author_Yuzhen Xu,Yuzhen Xu
author_Peter Chen,Peter Chen
author_Florian Full,Florian Full
author_Lin Xia,Lin Xia
author_Ling Hao,Ling Hao
author_Michael R Abidin,Michael R Abidin
author_Joseph B Selvanayagam,Joseph B Selvanayagam
author_Roberta Losi Guembarovski,Roberta Losi Guembarovski
author_Zi-Ming Wu,Zi-Ming Wu
author_Zhou Quan,Zhou Quan
author_Clelia Nisticò,Clelia Nisticò
author_J Jurczyk,J Jurczyk
author_Ruixue Huang,Ruixue Huang
author_Steve Kaminsky,Steve Kaminsky
author_Prabodh Kantiwal,Prabodh Kantiwal
author_Faizan Jafri,Faizan Jafri
author_Ping Yu,Ping Yu
author_Jin-Peng He,Jin-Peng He
author_Yingchao Shi,Yingchao Shi
author_V G Kondrashova,V G Kondrashova
author_Erhan İbrahimoğlu,Erhan İbrahimoğlu
author_Lei Bao,Lei Bao
author_D Gonzalez,D Gonzalez
author_Xiaoyan Tian,Xiaoyan Tian
author_Fatma Alqutami,Fatma Alqutami
author_Ryojo Akagami,Ryojo Akagami
author_Bryan Valcarcel,Bryan Valcarcel
author_Xiaobing Liu,Xiaobing Liu
author_Luis E Gimenez,Luis E Gimenez
author_Mohammad Hosseini Hooshiar,Mohammad Hosseini Hooshiar
author_Mukhethwa Munzhedzi,Mukhethwa Munzhedzi
author_Maxime Bouilloux-Lafont,Maxime Bouilloux-Lafont
author_Xiao-Xing Wang,Xiao-Xing Wang
author_Arno Schintlmeister,Arno Schintlmeister
author_George Firth,George Firth
author_Muhammad Attique Khan,Muhammad Attique Khan
author_Yaliang Lan,Yaliang Lan
author_Varsha Gupta,Varsha Gupta
author_Dibakar Ghosh,Dibakar Ghosh
author_Siddig Ibrahim Abdelwahab,Siddig Ibrahim Abdelwahab
author_Jinhui Wang,Jinhui Wang
author_Jonguk Park,Jonguk Park
author_Ali Hanbashi,Ali Hanbashi
author_Noha S Elsayed,Noha S Elsayed
author_Shan-Shan Chen,Shan-Shan Chen
author_Jian Zhang,Jian Zhang
author_Abderraouf Ben Abderrahman,Abderraouf Ben Abderrahman
author_George Horhat-Florin,George Horhat-Florin
author_Oleksandra V Novosylna,Oleksandra V Novosylna
author_Sanqiang Li,Sanqiang Li
author_Johnathan R Yarbro,Johnathan R Yarbro
author_József Tímár,József Tímár
author_Yaqing Xiao,Yaqing Xiao
author_Yue Gu,Yue Gu
author_Steliyan Petrov,Steliyan Petrov
author_Ting-Bao Cui,Ting-Bao Cui
author_D Duc Nguyen,D Duc Nguyen
author_Véronique Lindner,Véronique Lindner
author_Víctor H Bustamante,Víctor H Bustamante
author_Marco Pane,Marco Pane
author_Toshio Kitamura,Toshio Kitamura
author_Jonathan M Dreyfuss,Jonathan M Dreyfuss
author_I V Savintseva,I V Savintseva
author_Junjie Wei,Junjie Wei
author_Anju Dhiman,Anju Dhiman
author_Yiyuan Sun,Yiyuan Sun
author_G L Burchell,G L Burchell
author_Guoxu Ma,Guoxu Ma
author_S Peter Goedegebuure,S Peter Goedegebuure
author_María Beatriz Castro Hernández,María Beatriz Castro Hernández
author_Bryan P Schneider,Bryan P Schneider
author_Qian Tan,Qian Tan
author_Gordon H Guyatt,Gordon H Guyatt
author_Hossein Dehghani,Hossein Dehghani
